CornP,Temp
18.1,4.33
19.3,4.62
33.3,4.79
49.8,4.95
63.3,4.66
72.8,4.43
72.5,3.71
75.1,3.66
65.9,3.23
54.9,3.77
36.3,3.82
35.1,4.11
